Frame,Acquisition Time,Acquisition Time MDT,Cluster Count,Energy(Kev),Dose rate (uSv),SMALL_BLOB,HEAVY_TRACK,HEAVY_BLOB,MEDIUM_BLOB,STRAIGHT_TRACK,LIGHT_TRACK,Altitude,Dose
108,3:37:11 AM,8:37:11 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
109,3:37:17 AM,8:37:17 AM,2,77.44,0.00,2,0,0,0,0,0,4153,0.048383616
110,3:37:23 AM,8:37:23 AM,1,175.85,0.00,1,0,0,0,0,0,4153,0.109870737
111,3:37:30 AM,8:37:30 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
112,3:37:36 AM,8:37:36 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
113,3:37:42 AM,8:37:42 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
114,3:37:49 AM,8:37:49 AM,1,37.39,0.00,1,0,0,0,0,0,4153,0.023360934
115,3:37:55 AM,8:37:55 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
116,3:38:01 AM,8:38:01 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
117,3:38:07 AM,8:38:07 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
118,3:38:14 AM,8:38:14 AM,1,70.01,0.00,1,0,0,0,0,0,4153,0.043745107
119,3:38:20 AM,8:38:20 AM,1,35.31,0.00,1,0,0,0,0,0,4153,0.022064974
120,3:38:26 AM,8:38:26 AM,1,23.72,0.00,1,0,0,0,0,0,4153,0.014818545
121,3:38:32 AM,8:38:32 AM,1,42.67,0.00,1,0,0,0,0,0,4153,0.026659392
122,3:38:39 AM,8:38:39 AM,1,31.21,0.00,1,0,0,0,0,0,4153,0.019497304
123,3:38:45 AM,8:38:45 AM,1,151.52,0.00,0,0,0,0,0,1,4153,0.094667843
124,3:38:51 AM,8:38:51 AM,1,57.24,0.00,1,0,0,0,0,0,4153,0.035764585
125,3:38:57 AM,8:38:57 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
126,3:39:04 AM,8:39:04 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
127,3:39:10 AM,8:39:10 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
128,3:39:16 AM,8:39:16 AM,1,318.37,0.00,0,0,0,0,1,0,4153,0.198923027
129,3:39:22 AM,8:39:22 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
130,3:39:29 AM,8:39:29 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
131,3:39:35 AM,8:39:35 AM,2,661.98,0.01,1,0,0,0,0,1,4153,0.413612204
132,3:39:41 AM,8:39:41 AM,2,42.53,0.00,2,0,0,0,0,0,4153,0.026573204
133,3:39:47 AM,8:39:47 AM,2,562.94,0.01,0,0,0,0,1,1,4153,0.351730098
134,3:39:54 AM,8:39:54 AM,1,278.85,0.00,0,0,0,0,0,1,4153,0.174229797
135,3:40:00 AM,8:40:00 AM,2,444.66,0.00,1,1,0,0,0,0,4153,0.277827184
136,3:40:06 AM,8:40:06 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
137,3:40:12 AM,8:40:12 AM,1,132.85,0.00,0,0,0,0,0,1,4153,0.083008324
138,3:40:19 AM,8:40:19 AM,1,465.44,0.00,0,1,0,0,0,0,4153,0.290812781
139,3:40:25 AM,8:40:25 AM,2,64.59,0.00,2,0,0,0,0,0,4153,0.040353456
140,3:40:31 AM,8:40:31 AM,3,526.91,0.01,2,0,0,1,0,0,4153,0.329219025
141,3:40:38 AM,8:40:38 AM,2,372.49,0.00,1,0,0,0,0,1,4153,0.232736422
142,3:40:44 AM,8:40:44 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
143,3:40:50 AM,8:40:50 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
144,3:40:56 AM,8:40:56 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
145,3:41:03 AM,8:41:03 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
146,3:41:09 AM,8:41:09 AM,2,223.69,0.00,1,0,0,0,0,1,4153,0.139763296
147,3:41:15 AM,8:41:15 AM,1,649.25,0.01,0,0,0,0,1,0,4153,0.405654269
148,3:41:21 AM,8:41:21 AM,1,24.72,0.00,1,0,0,0,0,0,4153,0.01544347
149,3:41:28 AM,8:41:28 AM,2,97.78,0.00,2,0,0,0,0,0,4153,0.06109626
150,3:41:34 AM,8:41:34 AM,2,338.94,0.00,2,0,0,0,0,0,4153,0.211770935
151,3:41:40 AM,8:41:40 AM,1,52.90,0.00,1,0,0,0,0,0,4153,0.033053992
152,3:41:46 AM,8:41:46 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
153,3:41:53 AM,8:41:53 AM,1,30.55,0.00,1,0,0,0,0,0,4153,0.0190849
154,3:41:59 AM,8:41:59 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
155,3:42:05 AM,8:42:05 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
156,3:42:11 AM,8:42:11 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
157,3:42:18 AM,8:42:18 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
158,3:42:24 AM,8:42:24 AM,3,444.81,0.00,2,0,0,0,0,1,4153,0.277919282
159,3:42:30 AM,8:42:30 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
160,3:42:37 AM,8:42:37 AM,1,65.78,0.00,1,0,0,0,0,0,4153,0.041100199
161,3:42:43 AM,8:42:43 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
162,3:42:49 AM,8:42:49 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
163,3:42:55 AM,8:42:55 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
164,3:43:02 AM,8:43:02 AM,3,187.57,0.00,3,0,0,0,0,0,4153,0.117193212
165,3:43:08 AM,8:43:08 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
166,3:43:14 AM,8:43:14 AM,1,29.31,0.00,1,0,0,0,0,0,4153,0.018313888
