"Date","Time","---","Sensor Name","Data"
"5:40:25","9/2/17","DATA","PRESSURE_S:","875.04"
"5:40:29","9/2/17","DATA","PRESSURE_S:","875.04"
"5:40:32","9/2/17","DATA","PRESSURE_S:","874.98"
"5:40:36","9/2/17","DATA","PRESSURE_S:","875.04"
"5:40:39","9/2/17","DATA","PRESSURE_S:","875.32"
"5:40:43","9/2/17","DATA","PRESSURE_S:","875.44"
"5:40:46","9/2/17","DATA","PRESSURE_S:","875.60"
"5:40:50","9/2/17","DATA","PRESSURE_S:","875.54"
"5:40:53","9/2/17","DATA","PRESSURE_S:","875.48"
"5:40:57","9/2/17","DATA","PRESSURE_S:","875.36"
"5:41:00","9/2/17","DATA","PRESSURE_S:","875.30"
"5:41:04","9/2/17","DATA","PRESSURE_S:","875.36"
"5:41:07","9/2/17","DATA","PRESSURE_S:","875.48"
"5:41:11","9/2/17","DATA","PRESSURE_S:","875.48"
"5:41:14","9/2/17","DATA","PRESSURE_S:","875.42"
"5:41:18","9/2/17","DATA","PRESSURE_S:","875.42"
"5:41:21","9/2/17","DATA","PRESSURE_S:","875.30"
"5:41:25","9/2/17","DATA","PRESSURE_S:","875.30"
"5:41:28","9/2/17","DATA","PRESSURE_S:","875.24"
"5:41:32","9/2/17","DATA","PRESSURE_S:","875.30"
"5:41:35","9/2/17","DATA","PRESSURE_S:","875.30"
"5:41:39","9/2/17","DATA","PRESSURE_S:","875.24"
"5:41:42","9/2/17","DATA","PRESSURE_S:","875.24"
"5:41:46","9/2/17","DATA","PRESSURE_S:","875.30"
"5:41:49","9/2/17","DATA","PRESSURE_S:","875.34"
"5:41:53","9/2/17","DATA","PRESSURE_S:","875.50"
"5:41:56","9/2/17","DATA","PRESSURE_S:","875.50"
"5:42:00","9/2/17","DATA","PRESSURE_S:","875.72"
"5:42:03","9/2/17","DATA","PRESSURE_S:","875.60"
"5:42:07","9/2/17","DATA","PRESSURE_S:","875.50"
"5:42:10","9/2/17","DATA","PRESSURE_S:","875.28"
"5:42:14","9/2/17","DATA","PRESSURE_S:","875.28"
"5:42:17","9/2/17","DATA","PRESSURE_S:","875.06"
"5:42:21","9/2/17","DATA","PRESSURE_S:","875.34"
"5:42:24","9/2/17","DATA","PRESSURE_S:","875.44"
"5:42:28","9/2/17","DATA","PRESSURE_S:","875.50"
"5:42:31","9/2/17","DATA","PRESSURE_S:","875.60"
"5:42:35","9/2/17","DATA","PRESSURE_S:","875.60"
"5:42:38","9/2/17","DATA","PRESSURE_S:","875.38"
"5:42:42","9/2/17","DATA","PRESSURE_S:","875.28"
"5:42:45","9/2/17","DATA","PRESSURE_S:","875.32"
"5:42:49","9/2/17","DATA","PRESSURE_S:","875.32"
"5:42:52","9/2/17","DATA","PRESSURE_S:","875.42"
"5:42:56","9/2/17","DATA","PRESSURE_S:","875.52"
"5:42:59","9/2/17","DATA","PRESSURE_S:","875.56"
"5:43:03","9/2/17","DATA","PRESSURE_S:","875.62"
"5:43:06","9/2/17","DATA","PRESSURE_S:","875.58"
"5:43:10","9/2/17","DATA","PRESSURE_S:","875.48"
"5:43:13","9/2/17","DATA","PRESSURE_S:","875.44"
"5:43:17","9/2/17","DATA","PRESSURE_S:","875.50"
"5:43:20","9/2/17","DATA","PRESSURE_S:","875.44"
"5:43:24","9/2/17","DATA","PRESSURE_S:","875.48"
"5:43:27","9/2/17","DATA","PRESSURE_S:","875.58"
"5:43:31","9/2/17","DATA","PRESSURE_S:","875.68"
"5:43:34","9/2/17","DATA","PRESSURE_S:","875.52"
"1:14:12","9/3/17","DATA","PRESSURE_S:","876.20"
"1:14:15","9/3/17","DATA","PRESSURE_S:","877.60"
"1:14:19","9/3/17","DATA","PRESSURE_S:","878.70"
"1:14:22","9/3/17","DATA","PRESSURE_S:","874.50"
"1:14:26","9/3/17","DATA","PRESSURE_S:","876.20"
"1:14:29","9/3/17","DATA","PRESSURE_S:","876.64"
